startup_name,active_opinion_by_cms,location,hq,founded_date,industry_vertical,horizontal,operating_status,funding_status,employees,funding_round_1_investment,founder_round_1_investors,funding_round_1_date,funding_round_2_investment,founder_round_2_investors,funding_round_2_date,primary_industry,city,founders
tocal,,"Lahore, Punjab,Pakistan",Asia-Pacific,,Local Advertising,Internet,Active,Seed,1 to 10,,,2018-02-01,,,,Local Advertising,Lahore,
Inaaya,,"Karachi,Pakistan",Asia-Pacific,2012-01-01,Retail,Fashion,Active,Seed,,,,2014-08-21,,,,Retail,Karachi,Naushaba Brohi
Mad IT House,,Rawalpindi,Asia-Pacific,,Iot,,Active,Seed,1 to 10,,,2017-01-25,,,,Iot,Rawalpindi,Haseeb Ur Rehman
ImaGyn Technologies,,"Karachi, Sindh, Pakistan",Asia-Pacific,,Management,"Information Technology, Database",Active,Seed,11 to 50,,,,,,,Management,Karachi,
Freight Express International,,"Karachi,Pakistan",Asia-Pacific,,Logistics,"Delivery, Freight",Active,Early Stage,,,Inaara Impact Ventures,2019-05-28,,,,Logistics,Karachi,
Technifai,,"Karachi,",Asia-Pacific,2018-01-01,E-Commerce,,Active,Seed,,,"Danish Elahi, Jonas Eichhorst",2019-04-10,,,,E-Commerce,Karachi,
Appography,,"Lahore, Punjab, Pakistan",Asia-Pacific,2013-01-01,Technology,Mobile App,Active,Seed,,,,,,,,Technology,Lahore,
Fori Mazdoori,,Islamabad,Asia-Pacific,,Employment,,Active,Seed,,,PeaceTech Accelerator,2018-10-05,,,,Employment,Islamabad,
EasyCab,,"Lahore,",Asia-Pacific,,Travel,,Active,Seed,,,,2016-01-01,,,,Travel,Lahore,
devContact,,"Lahore,",Asia-Pacific,,,,Active,Seed,,100000.0,,2014-11-17,,,,Unknown,Lahore,
